image_path,original_label,adversarial_label
adversarial_dataset/train\adv_sample_training_79.png,3,2
adversarial_dataset/train\adv_sample_training_80.png,3,5
adversarial_dataset/train\adv_sample_training_81.png,8,3
adversarial_dataset/train\adv_sample_training_82.png,1,9
adversarial_dataset/train\adv_sample_training_83.png,1,9
adversarial_dataset/train\adv_sample_training_84.png,6,5
adversarial_dataset/train\adv_sample_training_85.png,2,5
adversarial_dataset/train\adv_sample_training_86.png,0,2
adversarial_dataset/train\adv_sample_training_87.png,8,9
adversarial_dataset/train\adv_sample_training_88.png,4,8
adversarial_dataset/train\adv_sample_training_89.png,2,5
adversarial_dataset/train\adv_sample_training_90.png,4,3
adversarial_dataset/train\adv_sample_training_91.png,3,4
adversarial_dataset/train\adv_sample_training_92.png,6,3
adversarial_dataset/train\adv_sample_training_93.png,4,7
adversarial_dataset/train\adv_sample_training_94.png,9,1
adversarial_dataset/train\adv_sample_training_95.png,0,2
adversarial_dataset/train\adv_sample_training_96.png,5,2
adversarial_dataset/train\adv_sample_training_97.png,7,4
adversarial_dataset/train\adv_sample_training_98.png,4,2
adversarial_dataset/train\adv_sample_training_99.png,3,4
adversarial_dataset/train\adv_sample_training_100.png,9,1
adversarial_dataset/train\adv_sample_training_101.png,7,4
adversarial_dataset/train\adv_sample_training_102.png,4,2
adversarial_dataset/train\adv_sample_training_103.png,9,1
adversarial_dataset/train\adv_sample_training_104.png,1,5
adversarial_dataset/train\adv_sample_training_105.png,2,0
adversarial_dataset/train\adv_sample_training_106.png,2,0
adversarial_dataset/train\adv_sample_training_107.png,4,0
adversarial_dataset/train\adv_sample_training_108.png,7,4
adversarial_dataset/train\adv_sample_training_109.png,3,5
adversarial_dataset/train\adv_sample_training_110.png,5,4
adversarial_dataset/train\adv_sample_training_111.png,2,0
adversarial_dataset/train\adv_sample_training_112.png,7,4
adversarial_dataset/train\adv_sample_training_113.png,3,8
adversarial_dataset/train\adv_sample_training_114.png,3,8
adversarial_dataset/train\adv_sample_training_115.png,9,1
adversarial_dataset/train\adv_sample_training_116.png,4,2
adversarial_dataset/train\adv_sample_training_117.png,7,4
adversarial_dataset/train\adv_sample_training_118.png,3,5
adversarial_dataset/train\adv_sample_training_119.png,3,5
adversarial_dataset/train\adv_sample_training_120.png,0,8
adversarial_dataset/train\adv_sample_training_121.png,6,4
adversarial_dataset/train\adv_sample_training_122.png,1,9
adversarial_dataset/train\adv_sample_training_123.png,0,8
adversarial_dataset/train\adv_sample_training_124.png,0,7
adversarial_dataset/train\adv_sample_training_125.png,1,3
adversarial_dataset/train\adv_sample_training_126.png,3,7
adversarial_dataset/train\adv_sample_training_127.png,2,3
adversarial_dataset/train\adv_sample_training_128.png,4,2
adversarial_dataset/train\adv_sample_training_129.png,0,9
adversarial_dataset/train\adv_sample_training_130.png,6,2
adversarial_dataset/train\adv_sample_training_131.png,3,6
adversarial_dataset/train\adv_sample_training_132.png,1,9
adversarial_dataset/train\adv_sample_training_133.png,6,3
adversarial_dataset/train\adv_sample_training_134.png,0,7
adversarial_dataset/train\adv_sample_training_135.png,9,3
adversarial_dataset/train\adv_sample_training_136.png,6,2
adversarial_dataset/train\adv_sample_training_137.png,7,4
adversarial_dataset/train\adv_sample_training_138.png,1,8
adversarial_dataset/train\adv_sample_training_139.png,3,6
adversarial_dataset/train\adv_sample_training_140.png,0,8
adversarial_dataset/train\adv_sample_training_141.png,9,1
adversarial_dataset/train\adv_sample_training_142.png,3,5
adversarial_dataset/train\adv_sample_training_143.png,0,8
adversarial_dataset/train\adv_sample_training_144.png,9,1
adversarial_dataset/train\adv_sample_training_145.png,0,2
adversarial_dataset/train\adv_sample_training_146.png,0,8
adversarial_dataset/train\adv_sample_training_147.png,5,7
adversarial_dataset/train\adv_sample_training_148.png,7,5
adversarial_dataset/train\adv_sample_training_149.png,4,7
adversarial_dataset/train\adv_sample_training_150.png,3,6
adversarial_dataset/train\adv_sample_training_151.png,2,3
adversarial_dataset/train\adv_sample_training_152.png,4,2
adversarial_dataset/train\adv_sample_training_153.png,6,4
adversarial_dataset/train\adv_sample_training_154.png,2,0
adversarial_dataset/train\adv_sample_training_155.png,6,9
adversarial_dataset/train\adv_sample_training_156.png,6,2
adversarial_dataset/train\adv_sample_training_157.png,3,5
adversarial_dataset/train\adv_sample_training_158.png,3,4
adversarial_dataset/train\adv_sample_training_159.png,0,8
adversarial_dataset/train\adv_sample_training_160.png,6,4
adversarial_dataset/train\adv_sample_training_161.png,6,3
adversarial_dataset/train\adv_sample_training_162.png,3,5
adversarial_dataset/train\adv_sample_training_163.png,0,8
adversarial_dataset/train\adv_sample_training_164.png,6,4
adversarial_dataset/train\adv_sample_training_165.png,3,7
adversarial_dataset/train\adv_sample_training_166.png,9,1
adversarial_dataset/train\adv_sample_training_167.png,7,4
adversarial_dataset/train\adv_sample_training_168.png,5,6
adversarial_dataset/train\adv_sample_training_169.png,6,4
adversarial_dataset/train\adv_sample_training_170.png,9,4
adversarial_dataset/train\adv_sample_training_171.png,3,7
adversarial_dataset/train\adv_sample_training_172.png,6,2
adversarial_dataset/train\adv_sample_training_173.png,6,4
adversarial_dataset/train\adv_sample_training_174.png,0,6
adversarial_dataset/train\adv_sample_training_175.png,9,6
adversarial_dataset/train\adv_sample_training_176.png,9,0
adversarial_dataset/train\adv_sample_training_177.png,0,8
adversarial_dataset/train\adv_sample_training_178.png,7,2
adversarial_dataset/train\adv_sample_training_179.png,4,6
adversarial_dataset/train\adv_sample_training_180.png,7,5
adversarial_dataset/train\adv_sample_training_181.png,2,0
adversarial_dataset/train\adv_sample_training_182.png,2,6
adversarial_dataset/train\adv_sample_training_183.png,2,1
adversarial_dataset/train\adv_sample_training_184.png,2,9
adversarial_dataset/train\adv_sample_training_185.png,8,4
adversarial_dataset/train\adv_sample_training_186.png,3,5
adversarial_dataset/train\adv_sample_training_187.png,8,7
adversarial_dataset/train\adv_sample_training_188.png,3,5
adversarial_dataset/train\adv_sample_training_189.png,7,4
adversarial_dataset/train\adv_sample_training_190.png,5,3
adversarial_dataset/train\adv_sample_training_191.png,3,5
adversarial_dataset/train\adv_sample_training_192.png,2,5
adversarial_dataset/train\adv_sample_training_193.png,3,4
adversarial_dataset/train\adv_sample_training_194.png,1,9
adversarial_dataset/train\adv_sample_training_195.png,7,5
adversarial_dataset/train\adv_sample_training_196.png,4,3
adversarial_dataset/train\adv_sample_training_197.png,6,3
adversarial_dataset/train\adv_sample_training_198.png,7,4
adversarial_dataset/train\adv_sample_training_199.png,8,5
adversarial_dataset/train\adv_sample_training_200.png,3,5
adversarial_dataset/train\adv_sample_training_201.png,4,3
adversarial_dataset/train\adv_sample_training_202.png,6,2
adversarial_dataset/train\adv_sample_training_203.png,3,4
adversarial_dataset/train\adv_sample_training_204.png,9,3
adversarial_dataset/train\adv_sample_training_205.png,2,4
adversarial_dataset/train\adv_sample_training_206.png,3,2
adversarial_dataset/train\adv_sample_training_207.png,7,1
adversarial_dataset/train\adv_sample_training_208.png,4,3
adversarial_dataset/train\adv_sample_training_209.png,7,6
adversarial_dataset/train\adv_sample_training_210.png,3,6
adversarial_dataset/train\adv_sample_training_211.png,5,4
adversarial_dataset/train\adv_sample_training_212.png,3,4
adversarial_dataset/train\adv_sample_training_213.png,9,1
adversarial_dataset/train\adv_sample_training_214.png,7,4
adversarial_dataset/train\adv_sample_training_215.png,0,1
adversarial_dataset/train\adv_sample_training_216.png,6,2
adversarial_dataset/train\adv_sample_training_217.png,6,4
adversarial_dataset/train\adv_sample_training_218.png,1,9
adversarial_dataset/train\adv_sample_training_219.png,4,6
adversarial_dataset/train\adv_sample_training_220.png,4,7
adversarial_dataset/train\adv_sample_training_221.png,0,1
adversarial_dataset/train\adv_sample_training_222.png,4,3
adversarial_dataset/train\adv_sample_training_223.png,5,2
adversarial_dataset/train\adv_sample_training_224.png,4,2
adversarial_dataset/train\adv_sample_training_225.png,3,2
adversarial_dataset/train\adv_sample_training_226.png,8,3
adversarial_dataset/train\adv_sample_training_227.png,3,5
adversarial_dataset/train\adv_sample_training_228.png,4,2
adversarial_dataset/train\adv_sample_training_229.png,3,6
adversarial_dataset/train\adv_sample_training_230.png,8,0
adversarial_dataset/train\adv_sample_training_231.png,2,7
adversarial_dataset/train\adv_sample_training_232.png,3,2
adversarial_dataset/train\adv_sample_training_233.png,3,2
adversarial_dataset/train\adv_sample_training_234.png,9,8
adversarial_dataset/train\adv_sample_training_235.png,2,6
adversarial_dataset/train\adv_sample_training_236.png,6,2
adversarial_dataset/train\adv_sample_training_237.png,4,7
adversarial_dataset/train\adv_sample_training_238.png,3,5
adversarial_dataset/train\adv_sample_training_239.png,2,0
adversarial_dataset/train\adv_sample_training_240.png,5,7
adversarial_dataset/train\adv_sample_training_241.png,9,1
adversarial_dataset/train\adv_sample_training_242.png,6,2
adversarial_dataset/train\adv_sample_training_243.png,1,9
adversarial_dataset/train\adv_sample_training_244.png,1,9
adversarial_dataset/train\adv_sample_training_245.png,6,2
adversarial_dataset/train\adv_sample_training_246.png,8,7
adversarial_dataset/train\adv_sample_training_247.png,5,6
adversarial_dataset/train\adv_sample_training_248.png,5,4
adversarial_dataset/train\adv_sample_training_249.png,1,9
adversarial_dataset/train\adv_sample_training_250.png,0,4
adversarial_dataset/train\adv_sample_training_251.png,0,8
adversarial_dataset/train\adv_sample_training_252.png,0,2
adversarial_dataset/train\adv_sample_training_253.png,9,1
adversarial_dataset/train\adv_sample_training_254.png,3,6
adversarial_dataset/train\adv_sample_training_255.png,6,2
adversarial_dataset/train\adv_sample_training_256.png,6,3
adversarial_dataset/train\adv_sample_training_257.png,5,2
adversarial_dataset/train\adv_sample_training_258.png,8,9
adversarial_dataset/train\adv_sample_training_259.png,7,4
adversarial_dataset/train\adv_sample_training_260.png,9,1
adversarial_dataset/train\adv_sample_training_261.png,3,5
adversarial_dataset/train\adv_sample_training_262.png,4,0
adversarial_dataset/train\adv_sample_training_263.png,4,3
adversarial_dataset/train\adv_sample_training_264.png,5,3
adversarial_dataset/train\adv_sample_training_265.png,7,4
adversarial_dataset/train\adv_sample_training_266.png,9,1
adversarial_dataset/train\adv_sample_training_267.png,8,0
adversarial_dataset/train\adv_sample_training_268.png,6,2
adversarial_dataset/train\adv_sample_training_269.png,2,4
adversarial_dataset/train\adv_sample_training_270.png,6,3
adversarial_dataset/train\adv_sample_training_271.png,3,4
adversarial_dataset/train\adv_sample_training_272.png,8,3
adversarial_dataset/train\adv_sample_training_273.png,4,3
adversarial_dataset/train\adv_sample_training_274.png,5,3
adversarial_dataset/train\adv_sample_training_275.png,2,5
adversarial_dataset/train\adv_sample_training_276.png,8,9
adversarial_dataset/train\adv_sample_training_277.png,0,1
adversarial_dataset/train\adv_sample_training_278.png,4,5
adversarial_dataset/train\adv_sample_training_279.png,8,6
adversarial_dataset/train\adv_sample_training_280.png,1,8
adversarial_dataset/train\adv_sample_training_281.png,6,2
adversarial_dataset/train\adv_sample_training_282.png,9,1
adversarial_dataset/train\adv_sample_training_283.png,4,2
adversarial_dataset/train\adv_sample_training_284.png,1,9
adversarial_dataset/train\adv_sample_training_285.png,1,9
adversarial_dataset/train\adv_sample_training_286.png,9,4
adversarial_dataset/train\adv_sample_training_287.png,4,2
adversarial_dataset/train\adv_sample_training_288.png,8,4
adversarial_dataset/train\adv_sample_training_289.png,7,3
adversarial_dataset/train\adv_sample_training_290.png,4,3
adversarial_dataset/train\adv_sample_training_291.png,9,8
adversarial_dataset/train\adv_sample_training_292.png,4,6
adversarial_dataset/train\adv_sample_training_293.png,3,1
adversarial_dataset/train\adv_sample_training_294.png,3,4
adversarial_dataset/train\adv_sample_training_295.png,5,3
adversarial_dataset/train\adv_sample_training_296.png,4,2
adversarial_dataset/train\adv_sample_training_297.png,9,0
adversarial_dataset/train\adv_sample_training_298.png,7,4
adversarial_dataset/train\adv_sample_training_299.png,0,2
adversarial_dataset/train\adv_sample_training_300.png,6,2
adversarial_dataset/train\adv_sample_training_301.png,5,0
adversarial_dataset/train\adv_sample_training_302.png,6,2
adversarial_dataset/train\adv_sample_training_303.png,3,2
adversarial_dataset/train\adv_sample_training_304.png,6,5
adversarial_dataset/train\adv_sample_training_305.png,0,2
adversarial_dataset/train\adv_sample_training_306.png,4,2
adversarial_dataset/train\adv_sample_training_307.png,9,1
adversarial_dataset/train\adv_sample_training_308.png,5,2
adversarial_dataset/train\adv_sample_training_309.png,1,9
adversarial_dataset/train\adv_sample_training_310.png,4,6
adversarial_dataset/train\adv_sample_training_311.png,9,1
adversarial_dataset/train\adv_sample_training_312.png,3,4
adversarial_dataset/train\adv_sample_training_313.png,9,1
adversarial_dataset/train\adv_sample_training_314.png,6,2
adversarial_dataset/train\adv_sample_training_315.png,6,2
adversarial_dataset/train\adv_sample_training_316.png,9,1
adversarial_dataset/train\adv_sample_training_317.png,8,0
adversarial_dataset/train\adv_sample_training_318.png,4,6
adversarial_dataset/train\adv_sample_training_319.png,3,5
adversarial_dataset/train\adv_sample_training_320.png,7,4
adversarial_dataset/train\adv_sample_training_321.png,6,4
adversarial_dataset/train\adv_sample_training_322.png,0,6
adversarial_dataset/train\adv_sample_training_323.png,8,1
adversarial_dataset/train\adv_sample_training_324.png,0,7
adversarial_dataset/train\adv_sample_training_325.png,7,4
adversarial_dataset/train\adv_sample_training_326.png,1,6
adversarial_dataset/train\adv_sample_training_327.png,8,0
adversarial_dataset/train\adv_sample_training_328.png,4,2
adversarial_dataset/train\adv_sample_training_329.png,6,8
adversarial_dataset/train\adv_sample_training_330.png,3,2
adversarial_dataset/train\adv_sample_training_331.png,2,6
adversarial_dataset/train\adv_sample_training_332.png,7,4
adversarial_dataset/train\adv_sample_training_333.png,5,3
adversarial_dataset/train\adv_sample_training_334.png,2,4
adversarial_dataset/train\adv_sample_training_335.png,9,1
adversarial_dataset/train\adv_sample_training_336.png,4,3
adversarial_dataset/train\adv_sample_training_337.png,0,8
adversarial_dataset/train\adv_sample_training_338.png,6,3
adversarial_dataset/train\adv_sample_training_339.png,4,5
adversarial_dataset/train\adv_sample_training_340.png,1,9
adversarial_dataset/train\adv_sample_training_341.png,8,1
adversarial_dataset/train\adv_sample_training_342.png,4,2
adversarial_dataset/train\adv_sample_training_343.png,5,3
adversarial_dataset/train\adv_sample_training_344.png,6,2
adversarial_dataset/train\adv_sample_training_345.png,3,5
adversarial_dataset/train\adv_sample_training_346.png,4,2
adversarial_dataset/train\adv_sample_training_347.png,8,9
adversarial_dataset/train\adv_sample_training_348.png,1,9
adversarial_dataset/train\adv_sample_training_349.png,1,9
adversarial_dataset/train\adv_sample_training_350.png,5,3
adversarial_dataset/train\adv_sample_training_351.png,7,5
adversarial_dataset/train\adv_sample_training_352.png,4,8
adversarial_dataset/train\adv_sample_training_353.png,5,3
adversarial_dataset/train\adv_sample_training_354.png,9,1
adversarial_dataset/train\adv_sample_training_355.png,3,7
adversarial_dataset/train\adv_sample_training_356.png,2,3
adversarial_dataset/train\adv_sample_training_357.png,5,3
adversarial_dataset/train\adv_sample_training_358.png,7,3
adversarial_dataset/train\adv_sample_training_359.png,7,5
adversarial_dataset/train\adv_sample_training_360.png,6,2
adversarial_dataset/train\adv_sample_training_361.png,8,4
adversarial_dataset/train\adv_sample_training_362.png,3,2
adversarial_dataset/train\adv_sample_training_363.png,0,2
adversarial_dataset/train\adv_sample_training_364.png,0,8
adversarial_dataset/train\adv_sample_training_365.png,5,3
adversarial_dataset/train\adv_sample_training_366.png,4,6
adversarial_dataset/train\adv_sample_training_367.png,3,2
adversarial_dataset/train\adv_sample_training_368.png,8,0
adversarial_dataset/train\adv_sample_training_369.png,1,0
adversarial_dataset/train\adv_sample_training_370.png,6,0
adversarial_dataset/train\adv_sample_training_371.png,4,3
adversarial_dataset/train\adv_sample_training_372.png,8,5
adversarial_dataset/train\adv_sample_training_373.png,3,5
adversarial_dataset/train\adv_sample_training_374.png,4,2
adversarial_dataset/train\adv_sample_training_375.png,4,2
adversarial_dataset/train\adv_sample_training_376.png,1,9
adversarial_dataset/train\adv_sample_training_377.png,7,4
adversarial_dataset/train\adv_sample_training_378.png,4,2
adversarial_dataset/train\adv_sample_training_379.png,9,1
adversarial_dataset/train\adv_sample_training_380.png,5,2
adversarial_dataset/train\adv_sample_training_381.png,9,8
adversarial_dataset/train\adv_sample_training_382.png,7,4
adversarial_dataset/train\adv_sample_training_383.png,1,9
adversarial_dataset/train\adv_sample_training_384.png,2,5
adversarial_dataset/train\adv_sample_training_385.png,4,2
adversarial_dataset/train\adv_sample_training_386.png,4,3
adversarial_dataset/train\adv_sample_training_387.png,2,6
adversarial_dataset/train\adv_sample_training_388.png,4,0
adversarial_dataset/train\adv_sample_training_389.png,4,6
adversarial_dataset/train\adv_sample_training_390.png,7,6
adversarial_dataset/train\adv_sample_training_391.png,7,5
adversarial_dataset/train\adv_sample_training_392.png,7,4
adversarial_dataset/train\adv_sample_training_393.png,4,3
adversarial_dataset/train\adv_sample_training_394.png,7,1
adversarial_dataset/train\adv_sample_training_395.png,3,5
adversarial_dataset/train\adv_sample_training_396.png,3,5
adversarial_dataset/train\adv_sample_training_397.png,1,9
adversarial_dataset/train\adv_sample_training_398.png,5,3
adversarial_dataset/train\adv_sample_training_399.png,5,7
adversarial_dataset/train\adv_sample_training_400.png,7,2
adversarial_dataset/train\adv_sample_training_401.png,3,5
adversarial_dataset/train\adv_sample_training_402.png,2,1
adversarial_dataset/train\adv_sample_training_403.png,5,3
adversarial_dataset/train\adv_sample_training_404.png,4,5
adversarial_dataset/train\adv_sample_training_405.png,3,4
adversarial_dataset/train\adv_sample_training_406.png,1,9
adversarial_dataset/train\adv_sample_training_407.png,3,5
adversarial_dataset/train\adv_sample_training_408.png,6,3
adversarial_dataset/train\adv_sample_training_409.png,7,3
adversarial_dataset/train\adv_sample_training_410.png,6,2
adversarial_dataset/train\adv_sample_training_411.png,6,5
adversarial_dataset/train\adv_sample_training_412.png,8,9
adversarial_dataset/train\adv_sample_training_413.png,5,3
adversarial_dataset/train\adv_sample_training_414.png,9,0
adversarial_dataset/train\adv_sample_training_415.png,8,0
adversarial_dataset/train\adv_sample_training_416.png,7,4
adversarial_dataset/train\adv_sample_training_417.png,6,2
adversarial_dataset/train\adv_sample_training_418.png,0,2
adversarial_dataset/train\adv_sample_training_419.png,4,3
adversarial_dataset/train\adv_sample_training_420.png,2,9
adversarial_dataset/train\adv_sample_training_421.png,8,9
adversarial_dataset/train\adv_sample_training_422.png,5,3
adversarial_dataset/train\adv_sample_training_423.png,9,0
adversarial_dataset/train\adv_sample_training_424.png,4,5
adversarial_dataset/train\adv_sample_training_425.png,7,5
adversarial_dataset/train\adv_sample_training_426.png,6,3
adversarial_dataset/train\adv_sample_training_427.png,4,5
adversarial_dataset/train\adv_sample_training_428.png,3,2
adversarial_dataset/train\adv_sample_training_429.png,2,0
adversarial_dataset/train\adv_sample_training_430.png,6,3
adversarial_dataset/train\adv_sample_training_431.png,4,2
adversarial_dataset/train\adv_sample_training_432.png,0,1
adversarial_dataset/train\adv_sample_training_433.png,8,3
adversarial_dataset/train\adv_sample_training_434.png,5,3
adversarial_dataset/train\adv_sample_training_435.png,7,4
adversarial_dataset/train\adv_sample_training_436.png,7,4
adversarial_dataset/train\adv_sample_training_437.png,6,1
adversarial_dataset/train\adv_sample_training_438.png,8,1
adversarial_dataset/train\adv_sample_training_439.png,9,1
adversarial_dataset/train\adv_sample_training_440.png,1,9
adversarial_dataset/train\adv_sample_training_441.png,0,8
adversarial_dataset/train\adv_sample_training_442.png,0,3
adversarial_dataset/train\adv_sample_training_443.png,3,2
adversarial_dataset/train\adv_sample_training_444.png,2,7
adversarial_dataset/train\adv_sample_training_445.png,6,3
adversarial_dataset/train\adv_sample_training_446.png,0,8
adversarial_dataset/train\adv_sample_training_447.png,2,4
adversarial_dataset/train\adv_sample_training_448.png,1,9
adversarial_dataset/train\adv_sample_training_449.png,7,3
adversarial_dataset/train\adv_sample_training_450.png,2,6
adversarial_dataset/train\adv_sample_training_451.png,6,3
adversarial_dataset/train\adv_sample_training_452.png,3,2
adversarial_dataset/train\adv_sample_training_453.png,4,2
adversarial_dataset/train\adv_sample_training_454.png,6,3
adversarial_dataset/train\adv_sample_training_455.png,1,8
adversarial_dataset/train\adv_sample_training_456.png,9,1
adversarial_dataset/train\adv_sample_training_457.png,2,1
adversarial_dataset/train\adv_sample_training_458.png,0,1
adversarial_dataset/train\adv_sample_training_459.png,0,8
adversarial_dataset/train\adv_sample_training_460.png,1,9
adversarial_dataset/train\adv_sample_training_461.png,0,4
adversarial_dataset/train\adv_sample_training_462.png,4,2
adversarial_dataset/train\adv_sample_training_463.png,6,0
adversarial_dataset/train\adv_sample_training_464.png,0,4
adversarial_dataset/train\adv_sample_training_465.png,5,8
adversarial_dataset/train\adv_sample_training_466.png,4,3
adversarial_dataset/train\adv_sample_training_467.png,9,1
adversarial_dataset/train\adv_sample_training_468.png,7,5
adversarial_dataset/train\adv_sample_training_469.png,1,2
adversarial_dataset/train\adv_sample_training_470.png,4,0
adversarial_dataset/train\adv_sample_training_471.png,4,6
adversarial_dataset/train\adv_sample_training_472.png,6,3
adversarial_dataset/train\adv_sample_training_473.png,9,6
adversarial_dataset/train\adv_sample_training_474.png,3,7
adversarial_dataset/train\adv_sample_training_475.png,0,8
adversarial_dataset/train\adv_sample_training_476.png,3,5
adversarial_dataset/train\adv_sample_training_477.png,3,5
adversarial_dataset/train\adv_sample_training_478.png,4,2
adversarial_dataset/train\adv_sample_training_479.png,6,2
adversarial_dataset/train\adv_sample_training_480.png,1,9
adversarial_dataset/train\adv_sample_training_481.png,0,2
adversarial_dataset/train\adv_sample_training_482.png,0,4
adversarial_dataset/train\adv_sample_training_483.png,8,7
adversarial_dataset/train\adv_sample_training_484.png,0,8
adversarial_dataset/train\adv_sample_training_485.png,0,3
adversarial_dataset/train\adv_sample_training_486.png,0,4
adversarial_dataset/train\adv_sample_training_487.png,8,3
adversarial_dataset/train\adv_sample_training_488.png,1,9
adversarial_dataset/train\adv_sample_training_489.png,7,5
adversarial_dataset/train\adv_sample_training_490.png,9,1
adversarial_dataset/train\adv_sample_training_491.png,0,7
adversarial_dataset/train\adv_sample_training_492.png,5,3
adversarial_dataset/train\adv_sample_training_493.png,2,9
adversarial_dataset/train\adv_sample_training_494.png,6,5
adversarial_dataset/train\adv_sample_training_495.png,5,2
adversarial_dataset/train\adv_sample_training_496.png,7,6
adversarial_dataset/train\adv_sample_training_497.png,2,4
adversarial_dataset/train\adv_sample_training_498.png,2,4
adversarial_dataset/train\adv_sample_training_499.png,8,1
adversarial_dataset/train\adv_sample_training_500.png,3,4
adversarial_dataset/train\adv_sample_training_501.png,5,6
adversarial_dataset/train\adv_sample_training_502.png,8,9
adversarial_dataset/train\adv_sample_training_503.png,0,4
adversarial_dataset/train\adv_sample_training_504.png,1,9
adversarial_dataset/train\adv_sample_training_505.png,3,1
adversarial_dataset/train\adv_sample_training_506.png,0,2
adversarial_dataset/train\adv_sample_training_507.png,2,4
adversarial_dataset/train\adv_sample_training_508.png,8,9
adversarial_dataset/train\adv_sample_training_509.png,0,9
adversarial_dataset/train\adv_sample_training_510.png,7,9
adversarial_dataset/train\adv_sample_training_511.png,9,1
adversarial_dataset/train\adv_sample_training_512.png,2,4
adversarial_dataset/train\adv_sample_training_513.png,7,4
adversarial_dataset/train\adv_sample_training_514.png,9,1
adversarial_dataset/train\adv_sample_training_515.png,8,0
adversarial_dataset/train\adv_sample_training_516.png,2,5
